id,skin_name,weapon_name,stat_trak,factory_new_price,quality
2,Syndicate,CZ75-Auto,0,7.79,3
4,Army Sheen,CZ75-Auto,0,4.08,0
5,Jungle Dashed,CZ75-Auto,0,1.28,0
6,Distressed,CZ75-Auto,1,1.18,2
7,Victoria,CZ75-Auto,1,127.29,5
8,Circaetus,CZ75-Auto,1,1.92,2
9,Tread Plate,CZ75-Auto,1,19.82,3
10,Red Astor,CZ75-Auto,1,3.6,3
13,Imprint,CZ75-Auto,1,2.32,2
15,Polymer,CZ75-Auto,1,1.14,2
16,Twist,CZ75-Auto,1,3.85,2
17,Tigris,CZ75-Auto,1,5.15,3
18,Poison Dart,CZ75-Auto,1,16.03,2
19,Crimson Web,CZ75-Auto,1,52.89,2
21,Pole Position,CZ75-Auto,1,5.38,3
22,Green Plaid,CZ75-Auto,0,3.69,0
23,Yellow Jacket,CZ75-Auto,1,39.14,4
24,Tacticat,CZ75-Auto,1,4.1,3
25,Xiangliu,CZ75-Auto,1,33.87,4
26,Vendetta,CZ75-Auto,1,2.8,2
29,Midnight Palm,CZ75-Auto,0,3.38,1
30,Emerald Quartz,CZ75-Auto,0,126.38,2
31,Framework,CZ75-Auto,0,1.28,0
32,Hexane,CZ75-Auto,1,9.09,2
33,Eco,CZ75-Auto,1,8.7,3
34,Mudder,Desert Eagle,0,0.64,1
35,Light Rail,Desert Eagle,1,16.89,3
36,Mecha Industries,Desert Eagle,1,26.9,4
37,Conspiracy,Desert Eagle,1,28.44,4
38,Printstream,Desert Eagle,1,185.6,5
39,Blaze,Desert Eagle,0,664.35,3
40,Kumicho Dragon,Desert Eagle,1,97.44,4
41,Trigger Discipline,Desert Eagle,1,10.29,3
42,Blue Ply,Desert Eagle,1,7.98,2
43,Sunset Storm 弐,Desert Eagle,0,304.16,3
44,Emerald Jörmungandr,Desert Eagle,0,330.03,3
45,Night Heist,Desert Eagle,0,16.24,2
46,Hypnotic,Desert Eagle,1,145.38,4
48,Oxide Blaze,Desert Eagle,1,2.42,2
49,Directive,Desert Eagle,1,43.43,3
50,Bronze Deco,Desert Eagle,1,2.29,2
51,Sputnik,Desert Eagle,0,2.5,2
52,Crimson Web,Desert Eagle,1,407.94,3
53,Sunset Storm 壱,Desert Eagle,0,286.28,3
54,Heirloom,Desert Eagle,1,65.95,3
55,Urban DDPAT,Desert Eagle,0,14.91,1
56,The Bronze,Desert Eagle,0,4.37,1
57,Hand Cannon,Desert Eagle,0,589.78,3
58,Urban Rubble,Desert Eagle,0,0.52,2
59,Code Red,Desert Eagle,1,192.1,5
60,Midnight Storm,Desert Eagle,0,29.96,1
61,Fennec Fox,Desert Eagle,0,464.01,4
62,Ocean Drive,Desert Eagle,1,449.55,5
63,Naga,Desert Eagle,1,18.14,3
64,Cobalt Disruption,Desert Eagle,1,166.45,4
65,Corinthian,Desert Eagle,1,3.8,2
66,Pilot,Desert Eagle,0,154.85,3
67,Meteorite,Desert Eagle,0,1.09,2
