id,skin_name,weapon_name,stat_trak,factory_new_price,quality
2,Syndicate,CZ75-Auto,0,"7,79€",Restricted Pistol
4,Army Sheen,CZ75-Auto,0,"4,08€",Consumer Grade Pistol
5,Jungle Dashed,CZ75-Auto,0,"1,28€",Consumer Grade Pistol
6,Distressed,CZ75-Auto,1,"1,18€",Mil-Spec Pistol
7,Victoria,CZ75-Auto,1,"127,29€",Covert Pistol
8,Circaetus,CZ75-Auto,1,"1,92€",Mil-Spec Pistol
9,Tread Plate,CZ75-Auto,1,"19,82€",Restricted Pistol
10,Red Astor,CZ75-Auto,1,"3,60€",Restricted Pistol
13,Imprint,CZ75-Auto,1,"2,32€",Mil-Spec Pistol
15,Polymer,CZ75-Auto,1,"1,14€",Mil-Spec Pistol
16,Twist,CZ75-Auto,1,"3,85€",Mil-Spec Pistol
17,Tigris,CZ75-Auto,1,"5,15€",Restricted Pistol
18,Poison Dart,CZ75-Auto,1,"16,03€",Mil-Spec Pistol
19,Crimson Web,CZ75-Auto,1,"52,89€",Mil-Spec Pistol
21,Pole Position,CZ75-Auto,1,"5,38€",Restricted Pistol
22,Green Plaid,CZ75-Auto,0,"3,69€",Consumer Grade Pistol
23,Yellow Jacket,CZ75-Auto,1,"39,14€",Classified Pistol
24,Tacticat,CZ75-Auto,1,"4,10€",Restricted Pistol
25,Xiangliu,CZ75-Auto,1,"33,87€",Classified Pistol
26,Vendetta,CZ75-Auto,1,"2,80€",Mil-Spec Pistol
29,Midnight Palm,CZ75-Auto,0,"3,38€",Industrial Grade Pistol
30,Emerald Quartz,CZ75-Auto,0,"126,38€",Mil-Spec Pistol
31,Framework,CZ75-Auto,0,"1,28€",Consumer Grade Pistol
32,Hexane,CZ75-Auto,1,"9,09€",Mil-Spec Pistol
33,Eco,CZ75-Auto,1,"8,70€",Restricted Pistol
34,Mudder,Desert Eagle,0,"0,64€",Industrial Grade Pistol
35,Light Rail,Desert Eagle,1,"16,89€",Restricted Pistol
36,Mecha Industries,Desert Eagle,1,"26,90€",Classified Pistol
37,Conspiracy,Desert Eagle,1,"28,44€",Classified Pistol
38,Printstream,Desert Eagle,1,"185,60€",Covert Pistol
39,Blaze,Desert Eagle,0,"664,35€",Restricted Pistol
40,Kumicho Dragon,Desert Eagle,1,"97,44€",Classified Pistol
41,Trigger Discipline,Desert Eagle,1,"10,29€",Restricted Pistol
42,Blue Ply,Desert Eagle,1,"7,98€",Mil-Spec Pistol
43,Sunset Storm 弐,Desert Eagle,0,"304,16€",Restricted Pistol
44,Emerald Jörmungandr,Desert Eagle,0,"330,03€",Restricted Pistol
45,Night Heist,Desert Eagle,0,"16,24€",Mil-Spec Pistol
46,Hypnotic,Desert Eagle,1,"145,38€",Classified Pistol
48,Oxide Blaze,Desert Eagle,1,"2,42€",Mil-Spec Pistol
49,Directive,Desert Eagle,1,"43,43€",Restricted Pistol
50,Bronze Deco,Desert Eagle,1,"2,29€",Mil-Spec Pistol
51,Sputnik,Desert Eagle,0,"2,50€",Mil-Spec Pistol
52,Crimson Web,Desert Eagle,1,"407,94€",Restricted Pistol
53,Sunset Storm 壱,Desert Eagle,0,"286,28€",Restricted Pistol
54,Heirloom,Desert Eagle,1,"65,95€",Restricted Pistol
55,Urban DDPAT,Desert Eagle,0,"14,91€",Industrial Grade Pistol
56,The Bronze,Desert Eagle,0,"4,37€",Industrial Grade Pistol
57,Hand Cannon,Desert Eagle,0,"589,78€",Restricted Pistol
58,Urban Rubble,Desert Eagle,0,"0,52€",Mil-Spec Pistol
59,Code Red,Desert Eagle,1,"192,10€",Covert Pistol
60,Midnight Storm,Desert Eagle,0,"29,96€",Industrial Grade Pistol
61,Fennec Fox,Desert Eagle,0,"464,01€",Classified Pistol
62,Ocean Drive,Desert Eagle,1,"449,55€",Covert Pistol
63,Naga,Desert Eagle,1,"18,14€",Restricted Pistol
64,Cobalt Disruption,Desert Eagle,1,"166,45€",Classified Pistol
65,Corinthian,Desert Eagle,1,"3,80€",Mil-Spec Pistol
66,Pilot,Desert Eagle,0,"154,85€",Restricted Pistol
67,Meteorite,Desert Eagle,0,"1,09€",Mil-Spec Pistol
68,Golden Koi,Desert Eagle,1,"268,80€",Covert Pistol
70,Oil Change,Dual Berettas,0,"1,02€",Consumer Grade Pistol
71,Dualing Dragons,Dual Berettas,1,"7,47€",Mil-Spec Pistol
72,Briar,Dual Berettas,0,"6,19€",Consumer Grade Pistol
73,Moon in Libra,Dual Berettas,0,"5,23€",Consumer Grade Pistol
75,Duelist,Dual Berettas,0,"141,84€",Restricted Pistol
77,Tread,Dual Berettas,1,"3,99€",Mil-Spec Pistol
78,Cobalt Quartz,Dual Berettas,0,"0,26€",Restricted Pistol
79,Black Limba,Dual Berettas,1,"107,25€",Mil-Spec Pistol
80,Royal Consorts,Dual Berettas,1,"10,13€",Restricted Pistol
81,Drift Wood,Dual Berettas,0,"4,01€",Industrial Grade Pistol
82,Dezastre,Dual Berettas,1,"17,08€",Restricted Pistol
83,Heist,Dual Berettas,0,"0,60€",Consumer Grade Pistol
84,Stained,Dual Berettas,0,"0,21€",Industrial Grade Pistol
85,Flora Carnivora,Dual Berettas,1,"6,63€",Restricted Pistol
87,Ventilators,Dual Berettas,1,"1,11€",Mil-Spec Pistol
88,Urban Shock,Dual Berettas,1,"7,70€",Restricted Pistol
89,Marina,Dual Berettas,1,"58,56€",Restricted Pistol
90,Cartel,Dual Berettas,1,"5,28€",Mil-Spec Pistol
91,Cobra Strike,Dual Berettas,1,"149,86€",Classified Pistol
92,Switch Board,Dual Berettas,0,"5,01€",Industrial Grade Pistol
93,Balance,Dual Berettas,1,"8,99€",Mil-Spec Pistol
95,Shred,Dual Berettas,1,"1,29€",Mil-Spec Pistol
96,Pyre,Dual Berettas,0,"35,80€",Industrial Grade Pistol
97,Melondrama,Dual Berettas,1,"17,87€",Classified Pistol
98,Twin Turbo,Dual Berettas,0,"7,42€",Classified Pistol
99,Elite 1.6,Dual Berettas,1,"1,17€",Mil-Spec Pistol
100,Hemoglobin,Dual Berettas,1,"31,55€",Restricted Pistol
101,Retribution,Dual Berettas,1,"4,39€",Mil-Spec Pistol
105,Case Hardened,Five-SeveN,1,"108,94€",Restricted Pistol
106,Angry Mob,Five-SeveN,1,"45,48€",Covert Pistol
107,Capillary,Five-SeveN,1,"1,03€",Mil-Spec Pistol
111,Nightshade,Five-SeveN,1,"5,55€",Mil-Spec Pistol
112,Silver Quartz,Five-SeveN,0,"0,61€",Mil-Spec Pistol
113,Fowl Play,Five-SeveN,1,"22,65€",Classified Pistol
114,Monkey Business,Five-SeveN,1,Not Possible,Classified Pistol
115,Hyper Beast,Five-SeveN,1,"928,03€",Covert Pistol
116,Withered Vine,Five-SeveN,0,"5,59€",Industrial Grade Pistol
117,Scrawl,Five-SeveN,1,"1,24€",Mil-Spec Pistol
119,Boost Protocol,Five-SeveN,1,"10,04€",Restricted Pistol
120,Fairy Tale,Five-SeveN,1,"129,87€",Classified Pistol
121,Retrobution,Five-SeveN,1,"8,13€",Restricted Pistol
123,Orange Peel,Five-SeveN,0,"0,31€",Industrial Grade Pistol
124,Berries And Cherries,Five-SeveN,0,"93,91€",Restricted Pistol
125,Urban Hazard,Five-SeveN,1,"3,86€",Mil-Spec Pistol
126,Fall Hazard,Five-SeveN,0,"349,74€",Classified Pistol
127,Kami,Five-SeveN,1,"3,05€",Mil-Spec Pistol
128,Violent Daimyo,Five-SeveN,1,"2,66€",Mil-Spec Pistol
129,Scumbria,Five-SeveN,1,"1,93€",Mil-Spec Pistol
130,Coolant,Five-SeveN,0,"0,04€",Consumer Grade Pistol
131,Flame Test,Five-SeveN,1,"0,75€",Mil-Spec Pistol
132,Triumvirate,Five-SeveN,1,"9,29€",Restricted Pistol
134,Neon Kimono,Five-SeveN,0,"364,63€",Restricted Pistol
135,Forest Night,Five-SeveN,0,"0,10€",Consumer Grade Pistol
136,Copper Galaxy,Five-SeveN,1,"24,56€",Restricted Pistol
137,Crimson Blossom,Five-SeveN,0,"114,88€",Mil-Spec Pistol
138,Buddy,Five-SeveN,1,"4,28€",Restricted Pistol
139,Neo-Noir,Glock-18,1,"268,51€",Covert Pistol
140,Weasel,Glock-18,1,"10,20€",Restricted Pistol
141,Vogue,Glock-18,1,"21,42€",Classified Pistol
143,Moonrise,Glock-18,1,"5,61€",Restricted Pistol
144,Steel Disruption,Glock-18,1,"11,25€",Restricted Pistol
145,Water Elemental,Glock-18,1,"52,45€",Classified Pistol
146,Winterized,Glock-18,1,"2,13€",Mil-Spec Pistol
147,Off World,Glock-18,1,"4,33€",Mil-Spec Pistol
148,Red Tire,Glock-18,0,"3,63€",Industrial Grade Pistol
149,Blue Fissure,Glock-18,1,"78,88€",Mil-Spec Pistol
151,Clear Polymer,Glock-18,1,"4,27€",Mil-Spec Pistol
153,Sacrifice,Glock-18,1,"5,49€",Mil-Spec Pistol
154,Death Rattle,Glock-18,0,Not Possible,Industrial Grade Pistol
155,Pink DDPAT,Glock-18,0,"89,67€",Restricted Pistol
156,Snack Attack,Glock-18,1,"91,88€",Classified Pistol
157,High Beam,Glock-18,0,"0,12€",Industrial Grade Pistol
158,Franklin,Glock-18,0,"45,09€",Restricted Pistol
159,Synth Leaf,Glock-18,0,"320,14€",Restricted Pistol
160,Umbral Rabbit,Glock-18,1,"6,08€",Restricted Pistol
161,Catacombs,Glock-18,1,"1,79€",Mil-Spec Pistol
162,Nuclear Garden,Glock-18,0,"7,22€",Restricted Pistol
163,Wraiths,Glock-18,1,"4,93€",Mil-Spec Pistol
164,Warhawk,Glock-18,1,"4,38€",Mil-Spec Pistol
165,Twilight Galaxy,Glock-18,0,"236,65€",Classified Pistol
166,Bullet Queen,Glock-18,1,"174,99€",Covert Pistol
167,Grinder,Glock-18,1,"7,84€",Restricted Pistol
169,Ramese's Reach,Glock-18,0,"17,92€",Restricted Pistol
170,Royal Legion,Glock-18,1,"29,61€",Restricted Pistol
171,Wasteland Rebel,Glock-18,1,"32,97€",Covert Pistol
172,Dragon Tattoo,Glock-18,1,"304,60€",Restricted Pistol
173,Oxide Blaze,Glock-18,1,"1,59€",Mil-Spec Pistol
174,Brass,Glock-18,0,"91,69€",Restricted Pistol
175,Reactor,Glock-18,0,"12,02€",Mil-Spec Pistol
176,Ironwork,Glock-18,1,"6,56€",Mil-Spec Pistol
177,Gamma Doppler,Glock-18,0,"70,77€",Covert Pistol
178,Bunsen Burner,Glock-18,1,"6,98€",Mil-Spec Pistol
179,Fade,Glock-18,0,No Recent Price,Restricted Pistol
181,Pulse,P2000,1,"3,46€",Mil-Spec Pistol
182,Urban Hazard,P2000,1,"0,82€",Mil-Spec Pistol
183,Grassland Leaves,P2000,0,"176,65€",Industrial Grade Pistol
184,Lifted Spirits,P2000,1,"0,76€",Mil-Spec Pistol
185,Scorpion,P2000,0,"6,08€",Restricted Pistol
186,Woodsman,P2000,1,"25,88€",Restricted Pistol
187,Coach Class,P2000,0,"20,63€",Industrial Grade Pistol
188,Granite Marbleized,P2000,0,"0,26€",Industrial Grade Pistol
189,Amber Fade,P2000,0,"8,60€",Restricted Pistol
190,Corticera,P2000,1,"54,16€",Classified Pistol
191,Ocean Foam,P2000,1,"408,56€",Classified Pistol
192,Imperial,P2000,1,"1,36€",Mil-Spec Pistol
193,Gnarled,P2000,1,"0,97€",Mil-Spec Pistol
194,Obsidian,P2000,1,"19,12€",Restricted Pistol
195,Dispatch,P2000,0,"23,54€",Mil-Spec Pistol
196,Fire Elemental,P2000,1,"231,99€",Covert Pistol
198,Chainmail,P2000,0,"120,63€",Mil-Spec Pistol
199,Red FragCam,P2000,1,"6,19€",Mil-Spec Pistol
200,Space Race,P2000,0,"8,49€",Restricted Pistol
201,Handgun,P2000,1,"16,91€",Restricted Pistol
202,Pathfinder,P2000,0,"22,48€",Industrial Grade Pistol
203,Imperial Dragon,P2000,1,"24,99€",Classified Pistol
204,Ivory,P2000,1,"3,09€",Mil-Spec Pistol
205,Panther Camo,P2000,0,"3,34€",Industrial Grade Pistol
207,Acid Etched,P2000,1,"6,80€",Restricted Pistol
208,Wicked Sick,P2000,1,"30,46€",Classified Pistol
209,Oceanic,P2000,1,"1,76€",Mil-Spec Pistol
210,Turf,P2000,1,"3,75€",Mil-Spec Pistol
211,X-Ray,P250,1,"3,11€",Restricted Pistol
212,Vino Primo,P250,0,"8,89€",Restricted Pistol
213,Inferno,P250,1,"4,59€",Restricted Pistol
214,Modern Hunter,P250,0,"441,38€",Mil-Spec Pistol
215,Supernova,P250,1,"4,76€",Restricted Pistol
